verb_id,class_key,verbs
57,measure,['measure']
58,drink,"['drink', 'drink-from']"
59,choose,"['choose', 'select']"
60,serve,"['serve', 'plate-on', 'plate', 'dish', 'plate-up']"
61,drop,"['drop', 'drop-on']"
62,wear,['wear']
63,rip,"['rip', 'tear', 'tear-off', 'tear-down']"
64,tip,"['tip', 'tip-over', 'tip-out']"
65,turn-down,['turn-down']
66,gather,"['gather', 'collect']"
67,eat,"['eat', 'chew-on', 'bite']"
68,stack,"['stack', 'stack-up']"
69,store,['store']
70,switch,['switch']
71,increase,"['increase', 'switch-up', 'turn-up']"
72,carry,"['carry', 'have', 'bring']"
73,lift,"['lift', 'raise', 'tilt', 'lift-up']"
74,twist,"['twist', 'screw', 'screw-in', 'screw-on', 'tighten']"
75,sweep,['sweep']
76,rub,"['rub', 'rub-off']"
77,unwrap,"['unwrap', 'unpack', 'unseal']"
78,stab,['stab']
79,attach,"['attach', 'connect', 'plug', 'assemble', 'plug-into', 'plug-in']"
80,stretch,"['stretch', 'unfold']"
81,lower,['lower']
82,prepare,['prepare']
83,unscrew,"['unscrew', 'untwist']"
84,season,"['season', 'sweeten', 'pepper', 'salt']"
85,video,['video']
86,tap-off,['tap-off']
87,set-off,['set-off']
88,squirt,['squirt']
89,load,['load']
90,unroll,"['unroll', 'roll-out']"
91,water,"['water', 'wet']"
92,do,['do']
93,flatten,"['flatten', 'flatten-with']"
94,uncover,"['uncover', 'lid-off']"
95,slide,"['slide', 'slide-out']"
96,unplug,['unplug']
97,level,['level']
98,tear-out,['tear-out']
99,feel,"['feel', 'touch']"
100,fix,['fix']
101,spill,['spill']
102,pack,['pack']
103,bake,['bake']
104,blow,"['blow', 'blow-out']"
105,sit-on,['sit-on']
106,count,['count']
107,dip,['dip']
108,cool,['cool']
109,flush,['flush']
110,knife,['knife']
111,fork,['fork']
112,swirl,['swirl']
113,stick,['stick']
114,pet-down,['pet-down']
115,realize,['realize']
116,weigh,['weigh']
117,defoliate,['defoliate']
118,deseed,['deseed']
119,tessellate,['tessellate']
120,unfreeze,['unfreeze']
121,decide-if,['decide-if']
122,let-out,['let-out']
123,save,['save']
124,reverse,['reverse']
