uid,participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
35,P01,P01_01,close cupboard,00:01:43.02,00:01:43.77,6181,6226,close,3,cupboard,8,['cupboard'],[8]
36,P01,P01_01,take courgette,00:01:44.10,00:01:45.22,6246,6313,take,0,courgette,69,['courgette'],[69]
37,P01,P01_01,cut courgette,00:01:45.69,00:02:02.03,6341,7321,cut,5,courgette,69,['courgette'],[69]
38,P01,P01_01,turn on hob,00:02:02.13,00:02:06.98,7327,7618,turn-on,12,hob,47,['hob'],[47]
39,P01,P01_01,cut courgette,00:02:07.80,00:02:24.89,7668,8693,cut,5,courgette,69,['courgette'],[69]
40,P01,P01_01,still cutting courgette,00:02:10.99,00:02:25.79,7859,8747,cut,5,courgette,69,['courgette'],[69]
41,P01,P01_01,dicing courgette,00:02:30.53,00:02:45.65,9031,9939,dice,5,courgette,69,['courgette'],[69]
42,P01,P01_01,still dicing courgette,00:02:45.75,00:03:00.28,9945,10816,dice,5,courgette,69,['courgette'],[69]
43,P01,P01_01,still dicing courgette,00:03:00.38,00:03:13.90,10822,11634,dice,5,courgette,69,['courgette'],[69]
44,P01,P01_01,still dicing courgette,00:03:59.04,00:04:08.81,14342,14928,dice,5,courgette,69,['courgette'],[69]
45,P01,P01_01,pour courgette onto pan,00:04:10.05,00:04:17.87,15003,15472,pour,7,courgette,69,"['courgette', 'pan']","[69, 1]"
46,P01,P01_01,throw courgette into rubbish bin,00:04:21.69,00:04:24.65,15701,15878,throw,8,courgette,69,"['courgette', 'bin:rubbish']","[69, 25]"
47,P01,P01_01,open drawer,00:04:25.06,00:04:26.44,15903,15986,open,2,drawer,9,['drawer'],[9]
48,P01,P01_01,close drawer,00:04:28.57,00:04:29.24,16114,16154,close,3,drawer,9,['drawer'],[9]
49,P01,P01_01,take spatula,00:04:30.43,00:04:32.16,16225,16329,take,0,spatula,22,['spatula'],[22]
50,P01,P01_01,stir courgette,00:04:32.08,00:04:37.85,16324,16671,stir,6,courgette,69,['courgette'],[69]
51,P01,P01_01,take salt,00:04:39.60,00:04:41.35,16776,16881,take,0,salt,31,['salt'],[31]
52,P01,P01_01,open salt,00:04:41.45,00:04:42.93,16887,16975,open,2,salt,31,['salt'],[31]
53,P01,P01_01,pour salt onto pan,00:04:42.80,00:04:45.05,16968,17103,pour,7,salt,31,"['salt', 'pan']","[31, 1]"
54,P01,P01_01,put down salt,00:04:45.15,00:04:46.79,17109,17207,put-down,1,salt,31,['salt'],[31]
55,P01,P01_01,stir courgette,00:04:47.86,00:04:54.25,17271,17655,stir,6,courgette,69,['courgette'],[69]
56,P01,P01_01,put down spatula,00:04:54.35,00:04:55.60,17661,17736,put-down,1,spatula,22,['spatula'],[22]
57,P01,P01_01,take celery,00:04:55.70,00:04:59.70,17742,17982,take,0,celery,185,['celery'],[185]
58,P01,P01_01,still washing celery,00:05:01.25,00:05:15.50,18075,18930,wash,4,celery,185,['celery'],[185]
59,P01,P01_01,open tap,00:05:01.30,00:05:03.46,18078,18207,open,2,tap,3,['tap'],[3]
60,P01,P01_01,wash celery,00:05:03.56,00:05:15.49,18213,18929,wash,4,celery,185,['celery'],[185]
61,P01,P01_01,close tap,00:05:15.03,00:05:15.94,18901,18956,close,3,tap,3,['tap'],[3]
62,P01,P01_01,put down celery,00:05:18.25,00:05:20.00,19095,19200,put-down,1,celery,185,['celery'],[185]
63,P01,P01_01,cut celery,00:05:22.78,00:05:28.18,19366,19690,cut,5,celery,185,['celery'],[185]
64,P01,P01_01,still cutting celery,00:05:28.28,00:05:38.07,19696,20284,cut,5,celery,185,['celery'],[185]
65,P01,P01_01,pour celery onto pan,00:05:41.64,00:05:46.21,20498,20772,pour,7,celery,185,"['celery', 'pan']","[185, 1]"
66,P01,P01_01,put down cutting board and knife,00:05:46.01,00:05:47.67,20760,20860,put-down,1,board:cutting,19,"['board:cutting', 'knife']","[19, 5]"
67,P01,P01_01,take celery,00:05:47.33,00:05:53.79,20839,21227,take,0,celery,185,['celery'],[185]
68,P01,P01_01,throw things into garbage bin,00:05:54.09,00:05:58.44,21245,21506,throw,8,celery,185,['celery'],"[185, 25]"
69,P01,P01_01,open fridge,00:06:00.21,00:06:01.84,21612,21710,open,2,fridge,10,['fridge'],[10]
70,P01,P01_01,put celery back into fridge,00:06:00.76,00:06:03.07,21645,21784,put,1,celery,185,"['celery', 'fridge']","[185, 10]"
71,P01,P01_01,close fridge,00:06:03.07,00:06:04.15,21784,21849,close,3,fridge,10,['fridge'],[10]
72,P01,P01_01,take spatula,00:06:07.34,00:06:08.34,22040,22100,take,0,spatula,22,['spatula'],[22]
73,P01,P01_01,stir something,00:06:08.37,00:06:18.03,22102,22681,stir,6,spatula,22,['spatula'],[22]
74,P01,P01_01,put down spatula,00:06:17.83,00:06:19.31,22669,22758,put-down,1,spatula,22,['spatula'],[22]
75,P01,P01_01,open container,00:06:19.26,00:06:21.20,22755,22872,open,2,container,29,['container'],[29]
76,P01,P01_01,take onion,00:06:21.53,00:06:24.85,22891,23091,take,0,onion,13,['onion'],[13]
77,P01,P01_01,take onion,00:06:24.01,00:06:24.76,23040,23085,take,0,onion,13,['onion'],[13]
78,P01,P01_01,put down onion,00:06:24.86,00:06:25.58,23091,23134,put-down,1,onion,13,['onion'],[13]
79,P01,P01_01,close container,00:06:25.48,00:06:28.37,23128,23302,close,3,container,29,['container'],[29]
80,P01,P01_01,take spatula,00:06:30.52,00:06:31.28,23431,23476,take,0,spatula,22,['spatula'],[22]
81,P01,P01_01,take knife,00:06:30.95,00:06:32.13,23457,23527,take,0,knife,5,['knife'],[5]
82,P01,P01_01,cut onion,00:06:32.59,00:06:38.75,23555,23925,cut,5,onion,13,['onion'],[13]
83,P01,P01_01,still cutting onion,00:06:35.40,00:06:47.03,23724,24421,cut,5,onion,13,['onion'],[13]
84,P01,P01_01,still cutting onion,00:06:48.39,00:07:02.18,24503,25330,cut,5,onion,13,['onion'],[13]
85,P01,P01_01,put down knife,00:07:04.69,00:07:06.42,25481,25585,put-down,1,knife,5,['knife'],[5]
86,P01,P01_01,take kettle,00:07:06.95,00:07:09.35,25617,25761,take,0,kettle,38,['kettle'],[38]
87,P01,P01_01,open tap,00:07:09.74,00:07:13.81,25784,26028,open,2,tap,3,['tap'],[3]
88,P01,P01_01,pour water into kettle,00:07:09.91,00:07:17.77,25794,26266,pour,7,water,17,"['water', 'kettle']","[17, 38]"
89,P01,P01_01,still pouring water,00:07:17.00,00:07:23.16,26220,26589,pour,7,water,17,['water'],[17]
90,P01,P01_01,close tap,00:07:21.50,00:07:22.25,26490,26535,close,3,tap,3,['tap'],[3]
91,P01,P01_01,turn kettle on,00:07:25.11,00:07:27.13,26706,26827,turn,13,kettle,38,['kettle'],[38]
92,P01,P01_01,take spatula,00:07:30.08,00:07:30.80,27004,27048,take,0,spatula,22,['spatula'],[22]
93,P01,P01_01,stir vegetables,00:07:30.55,00:07:38.30,27033,27498,stir,6,vegetable,90,['vegetable'],[90]
94,P01,P01_01,still stirring vegetables,00:07:35.57,00:07:44.74,27334,27884,stir,6,vegetable,90,['vegetable'],[90]
95,P01,P01_01,take glass,00:07:47.50,00:07:48.55,28050,28113,take,0,glass,16,['glass'],[16]
96,P01,P01_01,take glass,00:07:49.14,00:07:50.32,28148,28219,take,0,glass,16,['glass'],[16]
97,P01,P01_01,open cupboard,00:07:51.45,00:07:52.70,28287,28362,open,2,cupboard,8,['cupboard'],[8]
98,P01,P01_01,put glass into cupboard,00:07:54.18,00:07:57.23,28450,28633,put,1,glass,16,"['glass', 'cupboard']","[16, 8]"
99,P01,P01_01,close cupboard,00:07:56.74,00:07:59.32,28604,28759,close,3,cupboard,8,['cupboard'],[8]
100,P01,P01_01,take cup,00:07:59.75,00:08:00.88,28785,28852,take,0,cup,23,['cup'],[23]
101,P01,P01_01,open cupboard,00:08:01.47,00:08:02.21,28888,28932,open,2,cupboard,8,['cupboard'],[8]
102,P01,P01_01,put cup into cupboard,00:08:02.13,00:08:03.00,28927,28980,put,1,cup,23,"['cup', 'cupboard']","[23, 8]"
103,P01,P01_01,take container and lid,00:08:05.22,00:08:07.21,29113,29232,take,0,container,29,"['container', 'lid']","[29, 11]"
104,P01,P01_01,put container on top of counter,00:08:08.38,00:08:09.12,29302,29347,put,1,container,29,"['container', 'top', 'counter']","[29, 78, 78]"
105,P01,P01_01,open container,00:08:12.00,00:08:12.74,29520,29564,open,2,container,29,['container'],[29]
106,P01,P01_01,put container inside container,00:08:13.22,00:08:14.37,29593,29662,put,1,container,29,"['container', 'container']","[29, 29]"
107,P01,P01_01,close lid,00:08:15.80,00:08:16.99,29748,29819,close,3,lid,11,['lid'],[11]
108,P01,P01_01,put container in cupboard,00:08:19.64,00:08:20.60,29978,30036,put,1,container,29,"['container', 'cupboard']","[29, 8]"
109,P01,P01_01,take plate,00:08:22.35,00:08:23.31,30141,30198,take,0,plate,4,['plate'],[4]
110,P01,P01_01,put plate down,00:08:24.66,00:08:27.92,30279,30475,put,1,plate,4,['plate'],[4]
111,P01,P01_01,open drawer,00:08:28.16,00:08:29.94,30489,30596,open,2,drawer,9,['drawer'],[9]
112,P01,P01_01,take something,00:08:29.29,00:08:31.54,30557,30692,take,0,drawer,9,['drawer'],[9]
113,P01,P01_01,put down something,00:08:32.66,00:08:34.43,30759,30865,put-down,1,drawer,9,['drawer'],[9]
114,P01,P01_01,open drawer,00:08:36.81,00:08:38.05,31008,31082,open,2,drawer,9,['drawer'],[9]
115,P01,P01_01,take fork,00:08:37.88,00:08:39.13,31072,31147,take,0,fork,18,['fork'],[18]
116,P01,P01_01,put down fork,00:08:39.34,00:08:40.25,31160,31215,put-down,1,fork,18,['fork'],[18]
117,P01,P01_01,take spatula,00:08:41.19,00:08:42.08,31271,31324,take,0,spatula,22,['spatula'],[22]
118,P01,P01_01,stir vegetables,00:08:41.92,00:08:48.56,31315,31713,stir,6,vegetable,90,['vegetable'],[90]
120,P01,P01_01,take container,00:09:02.04,00:09:02.98,32522,32578,take,0,container,29,['container'],[29]
121,P01,P01_01,open fridge,00:09:06.39,00:09:07.42,32783,32845,open,2,fridge,10,['fridge'],[10]
122,P01,P01_01,put container into fridge,00:09:07.40,00:09:09.01,32844,32940,put,1,container,29,"['container', 'fridge']","[29, 10]"
123,P01,P01_01,close fridge,00:09:09.28,00:09:10.03,32956,33001,close,3,fridge,10,['fridge'],[10]
124,P01,P01_01,take spatula,00:09:13.41,00:09:14.49,33204,33269,take,0,spatula,22,['spatula'],[22]
125,P01,P01_01,stir vegetables,00:09:14.66,00:09:18.50,33279,33510,stir,6,vegetable,90,['vegetable'],[90]
126,P01,P01_01,take grater,00:09:21.12,00:09:22.32,33667,33739,take,0,grater,131,['grater'],[131]
127,P01,P01_01,take grater,00:09:21.12,00:09:22.52,33667,33751,take,0,grater,131,['grater'],[131]
128,P01,P01_01,take carrots,00:09:22.08,00:09:22.81,33724,33768,take,0,carrot,40,['carrot'],[40]
129,P01,P01_01,cut carrots,00:09:24.25,00:09:28.84,33855,34130,cut,5,carrot,40,['carrot'],[40]
130,P01,P01_01,drop grater,00:09:29.18,00:09:31.02,34150,34261,drop,61,grater,131,['grater'],[131]
131,P01,P01_01,grate carrots,00:09:34.42,00:09:46.92,34465,35215,grate,37,carrot,40,['carrot'],[40]
132,P01,P01_01,still grating carrots,00:09:47.02,00:09:55.58,35221,35734,grate,37,carrot,40,['carrot'],[40]
133,P01,P01_01,still grating carrot,00:09:50.29,00:10:00.72,35417,36043,grate,37,carrot,40,['carrot'],[40]
134,P01,P01_01,still grating carrot,00:10:02.19,00:10:38.99,36131,38339,grate,37,carrot,40,['carrot'],[40]
135,P01,P01_01,put down grater,00:10:39.51,00:10:40.27,38370,38416,put-down,1,grater,131,['grater'],[131]
136,P01,P01_01,throw carrot into bin,00:10:41.81,00:10:42.83,38508,38569,throw,8,carrot,40,"['carrot', 'bin']","[40, 25]"
137,P01,P01_01,take grater,00:10:44.49,00:10:45.33,38669,38719,take,0,grater,131,['grater'],[131]
138,P01,P01_01,put down grater,00:10:49.68,00:10:50.77,38980,39046,put-down,1,grater,131,['grater'],[131]
139,P01,P01_01,throw carrot into bin,00:10:52.77,00:10:53.83,39166,39229,throw,8,carrot,40,"['carrot', 'bin']","[40, 25]"
140,P01,P01_01,take spatula,00:10:54.75,00:10:55.75,39285,39345,take,0,spatula,22,['spatula'],[22]
141,P01,P01_01,stir vegetables,00:10:55.73,00:11:00.95,39343,39657,stir,6,vegetable,90,['vegetable'],[90]
142,P01,P01_01,open cupboard,00:11:02.55,00:11:03.55,39753,39813,open,2,cupboard,8,['cupboard'],[8]
143,P01,P01_01,take saucepan,00:11:03.55,00:11:05.30,39813,39918,take,0,saucepan,1,['saucepan'],[1]
144,P01,P01_01,put down saucepan,00:11:07.31,00:11:14.16,40038,40449,put-down,1,saucepan,1,['saucepan'],[1]
145,P01,P01_01,turn hob,00:11:15.00,00:11:16.99,40500,40619,turn,13,hob,47,['hob'],[47]
146,P01,P01_01,take kettle,00:11:19.51,00:11:22.29,40770,40937,take,0,kettle,38,['kettle'],[38]
147,P01,P01_01,pour water into saucepan,00:11:23.41,00:11:37.36,41004,41841,pour,7,water,17,"['water', 'saucepan']","[17, 1]"
148,P01,P01_01,see boiling water,00:11:26.55,00:11:31.55,41193,41493,see,50,water:boiling,17,['water:boiling'],[17]
149,P01,P01_01,put down kettle,00:11:39.07,00:11:41.91,41944,42114,put-down,1,kettle,38,['kettle'],[38]
150,P01,P01_01,take olive oil,00:11:43.86,00:11:45.41,42231,42324,take,0,oil:olive,24,['oil:olive'],[24]
151,P01,P01_01,pour oil,00:11:47.88,00:11:53.08,42472,42784,pour,7,oil,24,['oil'],[24]
152,P01,P01_01,close oil,00:11:53.14,00:11:56.39,42788,42983,close,3,oil,24,['oil'],[24]
153,P01,P01_01,put down oil,00:11:56.49,00:11:57.82,42989,43069,put-down,1,oil,24,['oil'],[24]
154,P01,P01_01,take spatula,00:11:57.92,00:11:58.80,43075,43128,take,0,spatula,22,['spatula'],[22]
155,P01,P01_01,take cutting board with onion,00:11:59.03,00:12:00.04,43141,43202,take,0,board:cutting,19,"['board:cutting', 'onion']","[19, 13]"
156,P01,P01_01,pouring onion,00:12:00.45,00:12:02.38,43227,43342,pour,7,onion,13,['onion'],[13]
157,P01,P01_01,put down cutting board,00:12:02.45,00:12:03.55,43347,43413,put-down,1,board:cutting,19,['board:cutting'],[19]
158,P01,P01_01,stir vegetables,00:12:03.70,00:12:11.48,43422,43888,stir,6,vegetable,90,['vegetable'],[90]
159,P01,P01_01,still stirring vegetables,00:12:10.37,00:12:30.08,43822,45004,stir,6,vegetable,90,['vegetable'],[90]
160,P01,P01_01,take salt,00:12:30.39,00:12:31.52,45023,45091,take,0,salt,31,['salt'],[31]
161,P01,P01_01,open salt,00:12:31.62,00:12:33.15,45097,45189,open,2,salt,31,['salt'],[31]
162,P01,P01_01,put down salt,00:12:32.75,00:12:34.00,45165,45240,put-down,1,salt,31,['salt'],[31]
163,P01,P01_01,open drawer,00:12:33.09,00:12:34.49,45185,45269,open,2,drawer,9,['drawer'],[9]
164,P01,P01_01,take spoon,00:12:34.95,00:12:36.70,45297,45402,take,0,spoon,7,['spoon'],[7]
165,P01,P01_01,pour salt onto spoon,00:12:37.80,00:12:41.59,45468,45695,pour,7,salt,31,"['salt', 'spoon']","[31, 7]"
166,P01,P01_01,pour salt into water,00:12:42.15,00:12:43.65,45729,45819,pour,7,salt,31,"['salt', 'water']","[31, 17]"
167,P01,P01_01,stir water,00:12:42.73,00:12:44.37,45763,45862,stir,6,water,17,['water'],[17]
168,P01,P01_01,close salt,00:12:44.91,00:12:45.76,45894,45945,close,3,salt,31,['salt'],[31]
169,P01,P01_01,put down spoon,00:12:46.10,00:12:46.78,45966,46006,put-down,1,spoon,7,['spoon'],[7]
170,P01,P01_01,put down salt,00:12:47.50,00:12:49.40,46050,46164,put-down,1,salt,31,['salt'],[31]
171,P01,P01_01,take spatula,00:12:49.54,00:12:50.27,46172,46216,take,0,spatula,22,['spatula'],[22]
172,P01,P01_01,stir vegetables,00:12:50.26,00:12:51.32,46215,46279,stir,6,vegetable,90,['vegetable'],[90]
173,P01,P01_01,adjust hob,00:12:51.40,00:12:52.66,46284,46359,adjust,17,hob,47,['hob'],[47]
174,P01,P01_01,stir vegetables,00:12:54.72,00:13:28.26,46483,48495,stir,6,vegetable,90,['vegetable'],[90]
175,P01,P01_01,still stirring vegetables,00:12:55.67,00:13:01.63,46540,46897,stir,6,vegetable,90,['vegetable'],[90]
176,P01,P01_01,still stirring vegetables,00:13:09.33,00:13:39.66,47359,49179,stir,6,vegetable,90,['vegetable'],[90]
177,P01,P01_01,put down spatula,00:13:39.54,00:13:40.87,49172,49252,put-down,1,spatula,22,['spatula'],[22]
178,P01,P01_01,open cupboard,00:13:41.22,00:13:42.41,49273,49344,open,2,cupboard,8,['cupboard'],[8]
179,P01,P01_01,take something,00:13:42.41,00:13:45.17,49344,49510,take,0,cupboard,8,['cupboard'],[8]
180,P01,P01_01,put down something,00:13:44.28,00:13:45.77,49456,49546,put-down,1,cupboard,8,['cupboard'],[8]
181,P01,P01_01,take rice,00:13:46.91,00:13:48.61,49614,49716,take,0,rice,44,['rice'],[44]
182,P01,P01_01,open rice,00:13:49.23,00:13:55.31,49753,50118,open,2,rice,44,['rice'],[44]
183,P01,P01_01,put down rice,00:13:59.14,00:14:00.44,50348,50426,put-down,1,rice,44,['rice'],[44]
184,P01,P01_01,take spatula,00:14:00.71,00:14:01.64,50442,50498,take,0,spatula,22,['spatula'],[22]
185,P01,P01_01,stir vegetables,00:14:01.74,00:14:07.27,50504,50836,stir,6,vegetable,90,['vegetable'],[90]
186,P01,P01_01,still stirring vegetables,00:14:07.37,00:14:24.11,50842,51846,stir,6,vegetable,90,['vegetable'],[90]
187,P01,P01_01,put down spatula,00:14:24.26,00:14:25.31,51855,51918,put-down,1,spatula,22,['spatula'],[22]
188,P01,P01_01,take tofu,00:14:26.00,00:14:27.27,51960,52036,take,0,tofu,159,['tofu'],[159]
189,P01,P01_01,take knife,00:14:29.59,00:14:31.03,52175,52261,take,0,knife,5,['knife'],[5]
190,P01,P01_01,cut tofu sleeve,00:14:30.88,00:14:35.11,52252,52506,cut,5,tofu,159,['tofu'],[159]
191,P01,P01_01,open tofu container,00:14:35.48,00:14:45.08,52528,53104,open,2,container:tofu,29,['container:tofu'],[29]
192,P01,P01_01,pour tofu onto pan,00:14:45.93,00:14:49.17,53155,53350,pour,7,tofu,159,"['tofu', 'pan']","[159, 1]"
193,P01,P01_01,put down tofu container,00:14:49.53,00:14:50.92,53371,53455,put-down,1,container:tofu,29,['container:tofu'],[29]
194,P01,P01_01,stir vegetables and tofu,00:14:50.88,00:15:04.28,53452,54256,stir,6,vegetable,90,"['vegetable', 'tofu']","[90, 159]"
195,P01,P01_01,put down spatula,00:15:04.17,00:15:05.18,54250,54310,put-down,1,spatula,22,['spatula'],[22]
196,P01,P01_01,take tofu container,00:15:05.28,00:15:08.19,54316,54491,take,0,container:tofu,29,['container:tofu'],[29]
197,P01,P01_01,throw something into the bin,00:15:09.33,00:15:11.48,54559,54688,throw,8,container:tofu,29,['container:tofu'],"[29, 25]"
198,P01,P01_01,throw something into the bin,00:15:11.43,00:15:13.59,54685,54815,throw,8,container:tofu,29,['container:tofu'],"[29, 25]"
199,P01,P01_01,throw tupperware container into the bin,00:15:17.61,00:15:18.43,55056,55105,throw,8,container:tupperware,29,"['container:tupperware', 'bin']","[29, 25]"
200,P01,P01_01,take spatula,00:15:21.64,00:15:22.39,55298,55343,take,0,spatula,22,['spatula'],[22]
201,P01,P01_01,stir vegetables in tofu,00:15:21.66,00:15:28.69,55299,55721,stir,6,vegetable,90,"['vegetable', 'tofu']","[90, 159]"
202,P01,P01_01,take rice,00:15:28.62,00:15:29.95,55717,55797,take,0,rice,44,['rice'],[44]
203,P01,P01_01,pour rice into water,00:15:31.78,00:15:37.61,55906,56256,pour,7,rice,44,"['rice', 'water']","[44, 17]"
204,P01,P01_01,pour rice into water,00:15:38.46,00:15:42.95,56307,56577,pour,7,rice,44,"['rice', 'water']","[44, 17]"
205,P01,P01_01,fold rice bag,00:15:45.45,00:15:51.60,56727,57096,fold,46,bag:rice,20,['bag:rice'],[20]
206,P01,P01_01,close rice bag,00:15:51.70,00:15:53.04,57102,57182,close,3,bag:rice,20,['bag:rice'],[20]
207,P01,P01_01,open cupboard,00:15:53.95,00:15:55.00,57237,57300,open,2,cupboard,8,['cupboard'],[8]
208,P01,P01_01,put rice into cupboard,00:15:55.05,00:15:56.87,57303,57412,put,1,rice,44,"['rice', 'cupboard']","[44, 8]"
209,P01,P01_01,stir vegetables in tofu,00:15:59.28,00:16:09.59,57556,58175,stir,6,vegetable,90,"['vegetable', 'tofu']","[90, 159]"
210,P01,P01_01,take spatula,00:15:59.49,00:16:00.51,57569,57630,take,0,spatula,22,['spatula'],[22]
211,P01,P01_01,take bottle,00:16:10.43,00:16:11.15,58225,58269,take,0,bottle,28,['bottle'],[28]
212,P01,P01_01,open top,00:16:11.25,00:16:11.96,58275,58317,open,2,top,78,['top'],[78]
213,P01,P01_01,pour water into bottle,00:16:13.41,00:16:24.80,58404,59088,pour,7,water,17,"['water', 'bottle']","[17, 28]"
214,P01,P01_01,close top,00:16:23.64,00:16:25.68,59018,59140,close,3,top,78,['top'],[78]
215,P01,P01_01,put bottle onto table,00:16:26.43,00:16:28.16,59185,59289,put,1,bottle,28,"['bottle', 'table']","[28, 53]"
216,P01,P01_01,take cutlery,00:16:29.60,00:16:33.60,59376,59616,take,0,cutlery,75,['cutlery'],[75]
217,P01,P01_01,open cupboard,00:16:34.54,00:16:37.07,59672,59824,open,2,cupboard,8,['cupboard'],[8]
218,P01,P01_01,put cutlery into cupboard,00:16:37.17,00:16:47.93,59830,60475,put,1,cutlery,75,"['cutlery', 'cupboard']","[75, 8]"
219,P01,P01_01,close drawer,00:16:47.68,00:16:49.46,60460,60567,close,3,drawer,9,['drawer'],[9]
220,P01,P01_01,take spatula,00:16:49.94,00:16:50.89,60596,60653,take,0,spatula,22,['spatula'],[22]
221,P01,P01_01,stir vegetables and tofu,00:16:50.90,00:16:58.04,60654,61082,stir,6,vegetable,90,"['vegetable', 'tofu']","[90, 159]"
222,P01,P01_01,adjust,00:16:58.21,00:17:00.21,61092,61212,adjust,17,vegetable,90,['vegetable'],[90]
223,P01,P01_01,stir vegetables,00:17:00.56,00:17:05.06,61233,61503,stir,6,vegetable,90,['vegetable'],[90]
224,P01,P01_01,stir rice,00:17:05.41,00:17:12.73,61524,61963,stir,6,rice,44,['rice'],[44]
225,P01,P01_01,put down spatula,00:17:13.60,00:17:14.56,62015,62073,put-down,1,spatula,22,['spatula'],[22]
226,P01,P01_01,take spoon,00:17:15.04,00:17:17.63,62102,62257,take,0,spoon,7,['spoon'],[7]
227,P01,P01_01,take glass,00:17:16.96,00:17:21.42,62217,62485,take,0,glass,16,['glass'],[16]
228,P01,P01_01,put down,00:17:20.23,00:17:28.68,62413,62920,put-down,1,glass,16,['glass'],[16]
229,P01,P01_01,put down glass,00:17:21.52,00:17:26.04,62491,62762,put-down,1,glass,16,['glass'],[16]
230,P01,P01_01,open drawer,00:17:26.31,00:17:28.40,62778,62904,open,2,drawer,9,['drawer'],[9]
231,P01,P01_01,take spatula,00:17:31.67,00:17:32.77,63100,63166,take,0,spatula,22,['spatula'],[22]
232,P01,P01_01,stir vegetables into a bowl,00:17:31.88,00:17:47.42,63112,64045,stir,6,vegetable,90,"['vegetable', 'bowl']","[90, 6]"
