participant_id,video_id,start_timestamp,stop_timestamp,narration
P01,P01_01,00:04:08.370,00:04:21.120,pour courgette onto pan
P01,P01_01,00:04:21.120,00:04:23.199,throw courgette into rubbish bin
P01,P01_01,00:04:23.199,00:04:26.970,open drawer
P01,P01_01,00:04:26.970,00:04:29.020,close drawer
P01,P01_01,00:04:29.020,00:04:30.389,take spatula
P01,P01_01,00:04:30.389,00:04:38.840,stir courgette
P01,P01_01,00:04:38.840,00:04:39.900,take salt
P01,P01_01,00:04:39.900,00:04:41.440,open salt
P01,P01_01,00:04:41.440,00:04:42.720,pour salt onto pan
P01,P01_01,00:04:42.720,00:04:46.280,put down salt
P01,P01_01,00:04:46.280,00:04:52.960,stir courgette
P01,P01_01,00:04:52.960,00:04:54.630,put down spatula
P01,P01_01,00:04:54.630,00:05:00.050,take celery
P01,P01_01,00:05:00.050,00:05:01.080,open tap
P01,P01_01,00:05:01.080,00:05:08.360,wash celery
P01,P01_01,00:05:08.360,00:05:13.669,still washing celery
P01,P01_01,00:05:13.669,00:05:17.229,close tap
P01,P01_01,00:05:17.229,00:05:20.050,put down celery
P01,P01_01,00:05:20.050,00:05:32.240,cut celery
P01,P01_01,00:05:32.240,00:05:41.349,still cutting celery
P01,P01_01,00:05:41.349,00:05:44.470,pour celery onto pan
P01,P01_01,00:05:44.470,00:05:51.870,put down cutting board and knife
P01,P01_01,00:05:51.870,00:05:53.169,take celery
P01,P01_01,00:05:53.169,00:05:58.319,throw things into garbage bin
P01,P01_01,00:05:58.319,00:05:59.990,open fridge
P01,P01_01,00:05:59.990,00:06:01.800,put celery back into fridge
P01,P01_01,00:06:01.800,00:06:06.080,close fridge
P01,P01_01,00:06:06.080,00:06:07.080,take spatula
P01,P01_01,00:06:07.080,00:06:16.289,stir something
P01,P01_01,00:06:16.289,00:06:18.020,put down spatula
P01,P01_01,00:06:18.020,00:06:20.099,open container
P01,P01_01,00:06:20.099,00:06:22.840,take onion
P01,P01_01,00:06:22.840,00:06:23.840,take onion
P01,P01_01,00:06:23.840,00:06:26.810,put down onion
P01,P01_01,00:06:26.810,00:06:27.810,close container
P01,P01_01,00:06:27.810,00:06:29.470,take spatula
P01,P01_01,00:06:29.470,00:06:30.470,take knife
P01,P01_01,00:06:30.470,00:06:39.710,cut onion
P01,P01_01,00:06:39.710,00:06:50.509,still cutting onion
P01,P01_01,00:06:50.509,00:07:04.300,Still cutting onion
P01,P01_01,00:07:04.300,00:07:06.479,Put down knife
P01,P01_01,00:07:06.479,00:07:09.080,Take kettle
P01,P01_01,00:07:09.080,00:07:10.080,Open tap
P01,P01_01,00:07:10.080,00:07:18.189,Pour water into kettle
P01,P01_01,00:07:18.189,00:07:19.930,Still pouring water
P01,P01_01,00:07:19.930,00:07:23.979,Close tap
P01,P01_01,00:07:23.979,00:07:28.199,Turn kettle on
P01,P01_01,00:07:28.199,00:07:29.870,Take spatula
P01,P01_01,00:07:29.870,00:07:41.470,Stir vegetables
P01,P01_01,00:07:41.470,00:07:46.520,Still stirring vegetables
P01,P01_01,00:07:46.520,00:07:47.669,take glass
P01,P01_01,00:07:47.669,00:07:49.680,take glass
P01,P01_01,00:07:49.680,00:07:52.020,open cupboard
P01,P01_01,00:07:52.020,00:07:55.560,put glass into cupboard
P01,P01_01,00:07:55.560,00:07:57.919,close cupboard
P01,P01_01,00:07:57.919,00:08:00.020,take cup
P01,P01_01,00:08:00.020,00:08:01.229,open cupboard
P01,P01_01,00:08:01.229,00:08:03.919,put cup into cupboard
P01,P01_01,00:08:03.919,00:08:07.610,take container and lid
P01,P01_01,00:08:07.610,00:08:09.860,put container on top of counter
P01,P01_01,00:08:09.860,00:08:12.900,open container
P01,P01_01,00:08:12.900,00:08:14.550,put container inside container
P01,P01_01,00:08:14.550,00:08:18.039,close lid
P01,P01_01,00:08:18.039,00:08:21.050,put container in cupboard
P01,P01_01,00:08:21.050,00:08:25.669,take plate
P01,P01_01,00:08:25.669,00:08:26.759,put plate down
P01,P01_01,00:08:26.759,00:08:29.879,open drawer
P01,P01_01,00:08:29.879,00:08:32.200,take something
P01,P01_01,00:08:32.200,00:08:35.200,put down something
P01,P01_01,00:08:35.200,00:08:36.460,open drawer
P01,P01_01,00:08:36.460,00:08:37.650,take fork
P01,P01_01,00:08:37.650,00:08:39.140,put down fork
P01,P01_01,00:08:39.140,00:08:40.730,take spatula
P01,P01_01,00:08:40.730,00:08:41.820,stir vegetables
P01,P01_01,00:08:41.820,00:09:00.560,stay stirring vegetables
P01,P01_01,00:09:00.560,00:09:04.130,take container
P01,P01_01,00:09:04.130,00:09:05.270,open fridge
P01,P01_01,00:09:05.270,00:09:07.270,put container into fridge
P01,P01_01,00:09:07.270,00:09:11.520,close fridge
P01,P01_01,00:09:11.520,00:09:12.520,take spatula
P01,P01_01,00:09:12.520,00:09:19.440,stir vegetables
P01,P01_01,00:09:19.440,00:09:20.670,take grater
P01,P01_01,00:09:20.670,00:09:23.250,take carrots
P01,P01_01,00:09:23.250,00:09:24.250,cut carrots
P01,P01_01,00:09:24.250,00:09:30.260,drop grater
P01,P01_01,00:09:30.260,00:09:34.890,take grater
P01,P01_01,00:09:34.890,00:09:49.030,grate carrots
P01,P01_01,00:09:49.030,00:10:13.600,still grating carrots
P01,P01_01,00:10:13.600,00:10:22.950,Still grating carrot
P01,P01_01,00:10:22.950,00:10:37.680,Still grating carrot
P01,P01_01,00:10:37.680,00:10:39.580,Put down grater
P01,P01_01,00:10:39.580,00:10:42.690,Throw carrot into bin
P01,P01_01,00:10:42.690,00:10:48.120,Take grater
P01,P01_01,00:10:48.120,00:10:50.470,Put down grater
P01,P01_01,00:10:50.470,00:10:52.590,Throw carrot into bin
P01,P01_01,00:10:52.590,00:10:53.780,Take spatula
P01,P01_01,00:10:53.780,00:11:01.010,Stir vegetables
P01,P01_01,00:11:01.010,00:11:04.990,open cupboard
P01,P01_01,00:11:04.990,00:11:10.540,take saucepan
P01,P01_01,00:11:10.540,00:11:13.870,put down saucepan
P01,P01_01,00:11:13.870,00:11:18.320,turn hob
P01,P01_01,00:11:18.320,00:11:22.750,take kettle
P01,P01_01,00:11:22.750,00:11:25.830,pour water into saucepan
P01,P01_01,00:11:25.830,00:11:38.100,see boiling water
P01,P01_01,00:11:38.100,00:11:42.520,put down kettle
P01,P01_01,00:11:42.520,00:11:45.880,take olive oil
P01,P01_01,00:11:45.880,00:11:53.320,pour oil
P01,P01_01,00:11:53.320,00:11:54.480,close oil
P01,P01_01,00:11:54.480,00:11:56.240,put down oil
P01,P01_01,00:11:56.240,00:11:57.770,take spatula
P01,P01_01,00:11:57.770,00:11:59.230,take cutting board with onion
P01,P01_01,00:11:59.230,00:12:01.540,pouring onion
P01,P01_01,00:12:01.540,00:12:02.540,put down cutting board
P01,P01_01,00:12:02.540,00:12:19.370,stir vegetables
P01,P01_01,00:12:19.370,00:12:29.000,still stirring vegetables
P01,P01_01,00:12:29.000,00:12:30.000,take salt
P01,P01_01,00:12:30.000,00:12:31.020,open salt
P01,P01_01,00:12:31.020,00:12:32.020,put down salt
P01,P01_01,00:12:32.020,00:12:34.510,open drawer
P01,P01_01,00:12:34.510,00:12:36.330,take spoon
P01,P01_01,00:12:36.330,00:12:40.260,pour salt onto spoon
P01,P01_01,00:12:40.260,00:12:41.640,pour salt into water
P01,P01_01,00:12:41.640,00:12:43.290,stir water
P01,P01_01,00:12:43.290,00:12:44.460,close salt
P01,P01_01,00:12:44.460,00:12:46.130,put down spoon
P01,P01_01,00:12:46.130,00:12:48.110,put down salt
P01,P01_01,00:12:48.110,00:12:49.110,take spatula
P01,P01_01,00:12:49.110,00:12:50.660,stir vegetables
P01,P01_01,00:12:50.660,00:12:51.740,adjust hob
P01,P01_01,00:12:51.740,00:13:06.870,stir vegetables
P01,P01_01,00:13:06.870,00:13:27.210,Still stirring vegetables
P01,P01_01,00:13:27.210,00:13:38.450,Still stirring vegetables
P01,P01_01,00:13:38.450,00:13:39.560,Put down spatula
P01,P01_01,00:13:39.560,00:13:43.300,Open cupboard
P01,P01_01,00:13:43.300,00:13:44.300,Take something
P01,P01_01,00:13:44.300,00:13:46.370,Put down something
P01,P01_01,00:13:46.370,00:13:51.130,Take rice
P01,P01_01,00:13:51.130,00:13:57.640,Open rice
P01,P01_01,00:13:57.640,00:13:58.950,Put down rice
P01,P01_01,00:13:58.950,00:13:59.950,Take spatula
P01,P01_01,00:13:59.950,00:14:14.190,Stir vegetables
P01,P01_01,00:14:14.190,00:14:22.410,Still stirring vegetables
P01,P01_01,00:14:22.410,00:14:24.060,put down spatula
P01,P01_01,00:14:24.060,00:14:28.250,take tofu
P01,P01_01,00:14:28.250,00:14:31.820,take knife
P01,P01_01,00:14:31.820,00:14:35.750,cut tofu sleeve
P01,P01_01,00:14:35.750,00:14:44.190,open tofu container
P01,P01_01,00:14:44.190,00:14:45.310,pour tofu onto pan
P01,P01_01,00:14:45.310,00:14:49.540,put down tofu container
P01,P01_01,00:14:49.540,00:15:02.690,stir vegetables and tofu
P01,P01_01,00:15:02.690,00:15:06.260,put down spatula
P01,P01_01,00:15:06.260,00:15:07.820,take tofu container
P01,P01_01,00:15:07.820,00:15:10.040,throw something into the bin
P01,P01_01,00:15:10.040,00:15:15.490,throw something into the bin
P01,P01_01,00:15:15.490,00:15:19.570,throw tupperware container into the bin
P01,P01_01,00:15:19.570,00:15:20.570,take spatula
P01,P01_01,00:15:20.570,00:15:27.490,stir vegetables in tofu
P01,P01_01,00:15:27.490,00:15:28.490,take rice
P01,P01_01,00:15:28.490,00:15:37.010,pour rice into water
P01,P01_01,00:15:37.010,00:15:46.130,pour rice into water
P01,P01_01,00:15:46.130,00:15:49.310,fold rice bag
P01,P01_01,00:15:49.310,00:15:51.990,close rice bag
P01,P01_01,00:15:51.990,00:15:52.990,open cupboard
P01,P01_01,00:15:52.990,00:15:57.870,put rice into cupboard
P01,P01_01,00:15:57.870,00:15:58.870,take spatula
P01,P01_01,00:15:58.870,00:16:09.660,stir vegetables in tofu
P01,P01_01,00:16:09.660,00:16:10.660,take bottle
P01,P01_01,00:16:10.660,00:16:13.610,open top
P01,P01_01,00:16:13.610,00:16:23.010,pour water into bottle
P01,P01_01,00:16:23.010,00:16:24.740,close top
P01,P01_01,00:16:24.740,00:16:30.280,put bottle onto table
P01,P01_01,00:16:30.280,00:16:33.190,take cutlery
P01,P01_01,00:16:33.190,00:16:36.440,open cupboard
P01,P01_01,00:16:36.440,00:16:45.910,put cutlery into cupboard
P01,P01_01,00:16:45.910,00:16:48.350,close drawer
P01,P01_01,00:16:48.350,00:16:50.030,take spatula
P01,P01_01,00:16:50.030,00:16:56.740,stir vegetables and tofu
P01,P01_01,00:16:56.740,00:17:01.870,adjust
P01,P01_01,00:17:01.870,00:17:04.740,stir vegetables
P01,P01_01,00:17:04.740,00:17:12.129,stir rice
P01,P01_01,00:17:12.129,00:17:14.730,put down spatula
P01,P01_01,00:17:14.730,00:17:16.279,take spoon
P01,P01_01,00:17:16.279,00:17:20.669,take glass
P01,P01_01,00:17:20.669,00:17:24.799,put down glass
P01,P01_01,00:17:24.799,00:17:25.799,open drawer
P01,P01_01,00:17:25.799,00:17:29.220,put down
P01,P01_01,00:17:29.220,00:17:30.330,take spatula
P01,P01_01,00:17:30.330,00:17:44.700,stir vegetables into a bowl
P01,P01_01,00:17:44.700,00:17:52.820,put down spatula
P01,P01_01,00:17:52.820,00:17:53.820,take container
P01,P01_01,00:17:53.820,00:17:56.220,open container
P01,P01_01,00:17:56.220,00:17:57.639,take container out of container
P01,P01_01,00:17:57.639,00:18:00.190,close container
P01,P01_01,00:18:00.190,00:18:04.429,put container back into cupboard
P01,P01_01,00:18:04.429,00:18:05.879,Take spatula
P01,P01_01,00:18:05.879,00:18:12.299,Stir rice
P01,P01_01,00:18:12.299,00:18:29.429,Stir vegetables and tofu
P01,P01_01,00:18:29.429,00:18:50.129,Still stirring vegetables and tofu
P01,P01_01,00:18:50.129,00:19:22.529,Put down spatula
P01,P01_01,00:19:22.529,00:19:31.600,Stir vegetables
P01,P01_01,00:19:31.600,00:19:37.500,Stir rice
P01,P01_01,00:19:37.500,00:20:04.840,Put down spatula
P01,P01_01,00:20:04.840,00:20:12.460,Waiting for rice to be cooked
P01,P01_01,00:20:12.460,00:20:13.460,Take spatula
P01,P01_01,00:20:13.460,00:20:23.120,Stir vegetables and tofu
P01,P01_01,00:20:23.120,00:20:24.179,Put down spatula
P01,P01_01,00:20:24.179,00:20:28.610,Take spoon
P01,P01_01,00:20:28.610,00:20:29.610,Scoop rice
P01,P01_01,00:20:29.610,00:20:36.309,Taste rice
P01,P01_01,00:20:36.309,00:20:46.289,Put down spoon
P01,P01_01,00:20:46.289,00:20:50.039,Open cupboard
P01,P01_01,00:20:50.039,00:21:02.129,Take drainer
P01,P01_01,00:21:02.129,00:21:03.140,take glass and bottle
P01,P01_01,00:21:03.140,00:21:08.960,pour water onto glass
P01,P01_01,00:21:08.960,00:21:10.289,drink water
P01,P01_01,00:21:10.289,00:21:15.580,put down bottle
P01,P01_01,00:21:15.580,00:21:18.879,put down glass
P01,P01_01,00:21:18.879,00:21:19.879,take spatula
P01,P01_01,00:21:19.879,00:21:31.129,stir vegetables and tofu
P01,P01_01,00:21:31.129,00:21:32.480,still stirring vegetables and tofu
P01,P01_01,00:21:32.480,00:21:42.610,put down spatula
P01,P01_01,00:21:42.610,00:21:44.830,take spatula
P01,P01_01,00:21:44.830,00:21:46.399,stir rice
P01,P01_01,00:21:46.399,00:22:00.370,Put down spatula
P01,P01_01,00:22:00.370,00:22:22.269,Waiting for rice
P01,P01_01,00:22:22.269,00:22:32.190,Still waiting for rice
P01,P01_01,00:22:32.190,00:22:34.200,Take spoon
P01,P01_01,00:22:34.200,00:22:37.960,Scoop rice
P01,P01_01,00:22:37.960,00:22:45.840,Taste rice
P01,P01_01,00:22:45.840,00:22:48.830,Put down spoon
P01,P01_01,00:22:48.830,00:23:11.860,Turn off hob
P01,P01_01,00:23:11.860,00:23:15.980,take sauce pan
P01,P01_01,00:23:15.980,00:23:22.220,drain sauce pan
P01,P01_01,00:23:22.220,00:23:28.039,drain rice
P01,P01_01,00:23:28.039,00:23:31.929,pour rice onto pan
P01,P01_01,00:23:31.929,00:23:33.580,put on drainer
P01,P01_01,00:23:33.580,00:23:42.990,scoop rice
P01,P01_01,00:23:42.990,00:23:44.769,put down sauce pan
P01,P01_01,00:23:44.769,00:23:46.759,put down drainer
P01,P01_01,00:23:46.759,00:23:48.610,put down spatula
P01,P01_01,00:23:48.610,00:23:49.610,take spatula
P01,P01_01,00:23:49.610,00:23:54.970,stir vegetables rice and tofu
P01,P01_01,00:23:54.970,00:23:56.100,put down spatula
P01,P01_01,00:23:56.100,00:23:57.100,take curry powder
P01,P01_01,00:23:57.100,00:23:58.340,open curry powder
P01,P01_01,00:23:58.340,00:24:01.919,pour curry powder
P01,P01_01,00:24:01.919,00:24:02.919,put down curry powder
P01,P01_01,00:24:02.919,00:24:03.919,take spatula
P01,P01_01,00:24:03.919,00:24:15.080,stir rice
P01,P01_01,00:24:15.080,00:24:37.529,still stirring rice
P01,P01_01,00:24:37.529,00:24:51.409,still stirring rice
P01,P01_01,00:24:51.409,00:25:04.210,still stirring rice
P01,P01_01,00:25:04.210,00:25:06.899,turn off hob
P01,P01_01,00:25:06.899,00:25:16.090,stir rice
P01,P01_01,00:25:16.090,00:25:34.769,still stirring rice
P01,P01_01,00:25:34.769,00:25:46.679,still stirring rice
P01,P01_01,00:25:46.679,00:25:49.039,put down spatula
P01,P01_01,00:25:49.039,00:25:52.350,close curry powder
P01,P01_01,00:25:52.350,00:25:54.429,put curry powder down
P01,P01_01,00:25:54.429,00:25:55.970,take container
P01,P01_01,00:25:55.970,00:25:58.419,take spatula
P01,P01_01,00:25:58.419,00:26:04.700,pour rice into container
P01,P01_01,00:26:04.700,00:26:05.980,scoop rice
P01,P01_01,00:26:05.980,00:26:09.309,pour rice into container
P01,P01_01,00:26:09.309,00:26:10.309,scoop rice
P01,P01_01,00:26:10.309,00:26:12.289,pour rice into container
P01,P01_01,00:26:12.289,00:26:13.289,put down container
P01,P01_01,00:26:13.289,00:26:14.409,put down spatula
P01,P01_01,00:26:14.409,00:26:16.220,take plate
P01,P01_01,00:26:16.220,00:26:17.220,put down plate
P01,P01_01,00:26:17.220,00:26:19.289,take spatula
P01,P01_01,00:26:19.289,00:26:33.129,pour rice onto plate
P01,P01_01,00:26:33.129,00:26:44.389,scoop rice
P01,P01_01,00:26:44.389,00:26:46.590,scoop rice
P01,P01_01,00:26:46.590,00:26:54.860,pour rice into container
P01,P01_01,00:26:54.860,00:26:57.749,scoop rice
P01,P01_01,00:26:57.749,00:26:59.950,put down spatula
P01,P01_01,00:26:59.950,00:27:04.259,put down pan
P01,P01_01,00:27:04.259,00:27:05.639,open tap
P01,P01_01,00:27:05.639,00:27:08.710,washing pan
P01,P01_01,00:27:08.710,00:27:11.720,wash sauce pan
P01,P01_01,00:27:11.720,00:27:12.820,wash drainer
P01,P01_01,00:27:12.820,00:27:16.700,close tap
P01,P01_01,00:27:16.700,00:27:18.639,take plate
P01,P01_01,00:27:18.639,00:27:19.389,put down plate
P01,P01_02,00:00:05.210,00:00:08.260,take plate
P01,P01_02,00:00:08.260,00:00:09.260,open bin
P01,P01_02,00:00:09.260,00:00:18.490,throw leftovers into bin
P01,P01_02,00:00:18.490,00:00:20.860,close bin
P01,P01_02,00:00:20.860,00:00:24.369,put down plate
P01,P01_02,00:00:24.369,00:00:25.369,take sponge
P01,P01_02,00:00:25.369,00:00:26.460,squeeze sponge
P01,P01_02,00:00:26.460,00:00:27.619,open tap
P01,P01_02,00:00:27.619,00:00:29.320,rinse sponge
P01,P01_02,00:00:29.320,00:00:30.779,take washing up liquid
P01,P01_02,00:00:30.779,00:00:32.870,pour washing up liquid into sponge
P01,P01_02,00:00:32.870,00:00:35.550,squeeze sponge
P01,P01_02,00:00:35.550,00:00:36.550,take fork
P01,P01_02,00:00:36.550,00:00:41.980,wash fork
P01,P01_02,00:00:41.980,00:00:42.980,take knife
P01,P01_02,00:00:42.980,00:00:49.320,wash knife
P01,P01_02,00:00:49.320,00:00:50.320,put down knife
P01,P01_02,00:00:50.320,00:00:51.320,take plate
P01,P01_02,00:00:51.320,00:00:58.269,wash plate
P01,P01_02,00:00:58.269,00:01:03.199,still washing plate
P01,P01_02,00:01:03.199,00:01:04.199,put down plate
P01,P01_02,00:01:04.199,00:01:06.930,take spatula
P01,P01_02,00:01:06.930,00:01:07.930,open tap
P01,P01_02,00:01:07.930,00:01:08.930,rinse spatula
P01,P01_02,00:01:08.930,00:01:19.040,wash spatula
P01,P01_02,00:01:19.040,00:01:20.479,still washing spatula
P01,P01_02,00:01:20.479,00:01:22.299,put down spatula
P01,P01_02,00:01:22.299,00:01:23.340,take colander
P01,P01_02,00:01:23.340,00:01:28.530,wash colander
P01,P01_02,00:01:28.530,00:01:29.530,put down colander
P01,P01_02,00:01:29.530,00:01:32.020,take sauce pan
P01,P01_02,00:01:32.020,00:01:37.630,wash sauce pan
P01,P01_02,00:01:37.630,00:01:45.130,still washing saucepan
P01,P01_02,00:01:45.130,00:01:48.920,still washing saucepan
P01,P01_02,00:01:48.920,00:01:50.070,put down saucepan
P01,P01_02,00:01:50.070,00:01:51.149,take colander
P01,P01_02,00:01:51.149,00:01:54.439,put down colander
P01,P01_02,00:01:54.439,00:01:57.759,empty pan
P01,P01_02,00:01:57.759,00:02:06.549,wash pan
P01,P01_02,00:02:06.549,00:02:16.000,still washing pan
P01,P01_02,00:02:16.000,00:02:17.910,continue washing pan
P01,P01_02,00:02:17.910,00:02:19.350,put down pan
P01,P01_02,00:02:19.350,00:02:21.080,take cutting board
P01,P01_02,00:02:21.080,00:02:30.000,wash cutting board
P01,P01_02,00:02:30.000,00:02:31.720,still washing cutting board
P01,P01_02,00:02:31.720,00:02:33.800,put down cutting board
P01,P01_02,00:02:33.800,00:02:34.810,take grater
P01,P01_02,00:02:34.810,00:02:41.810,wash grater
P01,P01_02,00:02:41.810,00:02:43.590,Still washing grater
P01,P01_02,00:02:43.590,00:02:45.750,Put down sponge
P01,P01_02,00:02:45.750,00:02:48.450,Put down grater
P01,P01_02,00:02:48.450,00:02:51.040,Take spoon
P01,P01_02,00:02:51.040,00:02:52.040,Take sponge
P01,P01_02,00:02:52.040,00:02:53.770,Wash spoon
P01,P01_02,00:02:53.770,00:02:54.770,Put down sponge
P01,P01_02,00:02:54.770,00:02:55.880,Open tap
P01,P01_02,00:02:55.880,00:02:57.420,Rinse hand
P01,P01_02,00:02:57.420,00:03:02.170,Rinse spoon
P01,P01_02,00:03:02.170,00:03:14.220,Rinse grater
P01,P01_02,00:03:14.220,00:03:19.570,Still rinsing grater
P01,P01_02,00:03:19.570,00:03:20.570,Put down grater
P01,P01_02,00:03:20.570,00:03:22.430,Take colander
P01,P01_02,00:03:22.430,00:03:30.010,Rinse colander
P01,P01_02,00:03:30.010,00:03:37.290,Still rinsing colander
P01,P01_02,00:03:37.290,00:03:38.290,put down colander
P01,P01_02,00:03:38.290,00:03:39.290,take spatula
P01,P01_02,00:03:39.290,00:03:46.420,green spatula
P01,P01_02,00:03:46.420,00:03:50.400,put down spatula
P01,P01_02,00:03:50.400,00:03:51.400,take sauce pan
P01,P01_02,00:03:51.400,00:03:59.920,rinse sauce pan
P01,P01_02,00:03:59.920,00:04:05.830,still rinsing sauce pan
P01,P01_02,00:04:05.830,00:04:09.970,put down sauce pan
P01,P01_02,00:04:09.970,00:04:14.380,empty pan
P01,P01_02,00:04:14.380,00:04:17.100,wash pan
P01,P01_02,00:04:17.100,00:04:18.160,adjusting top
P01,P01_02,00:04:18.160,00:04:20.870,wash pan
P01,P01_02,00:04:20.870,00:04:23.710,empty pan
P01,P01_02,00:04:23.710,00:04:29.620,rinse pan
P01,P01_02,00:04:29.620,00:04:30.889,still rinsing pan
P01,P01_02,00:04:30.889,00:04:33.460,washing pans
P01,P01_02,00:04:33.460,00:04:45.300,rinse pan
P01,P01_02,00:04:45.300,00:04:48.419,still rinsing pan
P01,P01_02,00:04:48.419,00:04:50.259,put down pan
P01,P01_02,00:04:50.259,00:04:51.259,take knife
P01,P01_02,00:04:51.259,00:04:55.560,rinse knife
P01,P01_02,00:04:55.560,00:04:56.560,put down knife
P01,P01_02,00:04:56.560,00:04:57.590,take fork
P01,P01_02,00:04:57.590,00:04:59.580,rinse fork
P01,P01_02,00:04:59.580,00:05:00.580,put down fork
P01,P01_02,00:05:00.580,00:05:01.580,take plate
P01,P01_02,00:05:01.580,00:05:05.919,rinse plate
P01,P01_02,00:05:05.919,00:05:08.960,still rinsing plate
P01,P01_02,00:05:08.960,00:05:09.960,put down plate
P01,P01_02,00:05:09.960,00:05:11.120,take cutting board
P01,P01_02,00:05:11.120,00:05:18.539,rinse cutting board
P01,P01_02,00:05:18.539,00:05:24.219,still rinsing cutting board
P01,P01_02,00:05:24.219,00:05:25.219,put down cutting board
P01,P01_02,00:05:25.219,00:05:26.539,take sponge
P01,P01_02,00:05:26.539,00:05:32.490,squeeze sponge
P01,P01_02,00:05:32.490,00:05:33.849,still squeezing sponge
P01,P01_02,00:05:33.849,00:05:40.969,take rag
P01,P01_02,00:05:40.969,00:05:43.520,still squeezing sponge
P01,P01_02,00:05:43.520,00:05:48.330,rinse rag
P01,P01_02,00:05:48.330,00:05:50.419,squeeze rag
P01,P01_02,00:05:50.419,00:05:54.099,wipe sink
P01,P01_02,00:05:54.099,00:05:55.099,squeeze rag
P01,P01_02,00:05:55.099,00:05:59.479,wipe sink
P01,P01_02,00:05:59.479,00:06:05.840,wipe counter
P01,P01_02,00:06:05.840,00:06:12.279,still wiping counter
P01,P01_02,00:06:12.279,00:06:18.310,wipe counter
P01,P01_02,00:06:18.310,00:06:19.310,open bin
P01,P01_02,00:06:19.310,00:06:21.590,throw leftovers into bin
P01,P01_02,00:06:21.590,00:06:23.759,close bin
P01,P01_02,00:06:23.759,00:06:29.169,wipe cooker
P01,P01_02,00:06:29.169,00:06:38.039,still wiping cooker
P01,P01_02,00:06:38.039,00:06:44.919,still wiping cooker
P01,P01_02,00:06:44.919,00:06:48.300,still wiping cooker
P01,P01_02,00:06:48.300,00:06:53.879,wipe counter
P01,P01_02,00:06:53.879,00:06:55.840,still wiping counter
P01,P01_02,00:06:55.840,00:06:58.189,wipe sink
P01,P01_02,00:06:58.189,00:06:59.189,open tap
P01,P01_02,00:06:59.189,00:07:05.520,rinse rag
P01,P01_02,00:07:05.520,00:07:06.520,close tap
P01,P01_02,00:07:06.520,00:07:08.879,squeeze rag
P01,P01_02,00:07:08.879,00:07:14.300,wipe sink
P01,P01_02,00:07:14.300,00:07:22.039,still wiping sink
P01,P01_02,00:07:22.039,00:07:25.499,squeeze rag
P01,P01_02,00:07:25.499,00:07:26.499,put down rag
P01,P01_02,00:07:26.499,00:07:27.499,take cloth
P01,P01_02,00:07:27.499,00:07:31.580,dry hands
P01,P01_02,00:07:31.580,00:07:33.979,put down cloth
